player
72
?lkay Gündo?an
Casper Nielsen
Castello Lukeba
Cedric Itten
Charalambos Lykogiannis
Charalampos Lykogiannis
Charles De Ketelaere
Cheikh Niasse
Cheikh Tidiane Niasse
Chemsdine Talbi
Cherif Ndiaye
Chris Führich
Christian Mawissa
Christian Pulisic
Christoph Baumgartner
Christos Tzolis
Clément Lenglet
Cody Gakpo
Conor Bradley
Conor Gallagher
Conrad Harder
Cristhian Stuani
Curtis Jones
César Azpilicueta
César Blackman
Daizen Maeda
Daley Blind
Dan Ndoye
Dan-Axel Zagadou
Dani Carvajal
Dani Ceballos
Dani Olmo
Daniel Bragança
Daniel Peretz
Daniil Khudiakov
Danijel Zagorac
Danilo
Danylo Ihnatenko
Danylo Sikan
Darian Males
Dario Špiki?
DarioŠpiki?
Darwin Núñez
David López
David Raum
David Raya
David von Ballmoos
Davide Calabria
Davide Frattesi
Davide Zappacosta
Dayot Upamecano
Declan Rice
Denis Zakaria
Deniz Undav
Denzel Dumfries
Diego Carlos
Dimitri Lavalée
Diogo Jota
Dmytro Kryskiv
Dmytro Riznyk
Dominik Szoboszlai
Dominik Takác
Donny van de Beek
Donnyvande Beek
Donyell Malen
Douglas Luiz
Dušan Vlahovi?
Dávid Hancko
Dávid Strelec
DésiréDoué
Ebrima Colley
Ederson
Edimilson Fernandes
Edmond Tapsoba
Edon Zhegrova
Eduardo Camavinga
Eduardo Quaresma
Eguinaldo
El Bilal Touré
El Chadaille Bitshiabu
Elias Cobbaut
Eliesse Ben Seghir
Emanuel Aiwum
Emerson
Emi Buendía
Emil Holm
Emiliano Martínez
Emre Can
Endrick
Enzo Millot
Eric Dier
Eric García
Erling Haaland
Ermal Krasniqi
Ermedin Demirovi?
Ethan Nwaneri
Exequiel Palacios
Ezri Konsa
Fabian Bredlow
Fabian Rieder
Fabián Ruiz Peña
Federico Chiesa
Federico Dimarco
Federico Gatti
Federico Ravaglia
Federico Valverde
Felix Nmecha
Ferland Mendy
Fermin López
Ferran Jutglà
Ferrán Torres
Fikayo Tomori
Filip Panák
Filip Ugrinic
Florentino Luís
Florian Wirtz
Fran Garcia
Francesco Acerbi
Francisco Conceição
Francisco Trincão
Franco Israel
Fredrik Aursnes
Frenkiede Jong
Gabriel Gudmundsson
Gabriel Jesus
Gabriel Magalhães
Gabriel Martinelli
Gavi
Geny Catamo
Geovany Quenda
Gerard Martín
Gernot Trauner
Gianluigi Donnarumma
Gijs Smal
Gio Reyna
Giovanni Fabbian
Giuliano Simeone
Gleison Bremer
Gonçalo Inácio
Granit Xhaka
Greg Taylor
Gregor Kobel
Gregory Wüthrich
Guram Kashia
Gustaf Nilsson
Guus Til
Guélor Kanga
Hakan Çalhano?lu
Hans Vanaken
Harry Kane
Harvey Elliott
Hendry Blank
Henrikh Mkhitaryan
Heorhiy Sudakov
Hidemasa Morita
Hugo Bueno
Hugo Magnetti
Hugo Vetlesen
Hwang In-beom
Hákon Arnar Haraldsson
Ian Maatsen
Ibrahim Osman
Ibrahima Konaté
Idjessi Metsoko
Igor Paixão
Irakli Azarov
Isak Hien
Ismael Saibari
Ismaily
Ismaël Bennacer
Issa Kaboré
Ivan Guteša
Ivan Nevistic
Iván Fresneda
Iván Martín
Iñaki Peña
Iñigo Martínez
Jack Grealish
Jacob Ramsey
Jaden Philogene Bidace
Jahmai Simpson-Pusey
Jakub Kiwior
Jakub Pesek
Jamal Musiala
James Forrest
James Mc Connell
Jamie Gittens
Jamie Leweling
Jan Oblak
Janis Blaswich
Jaouen Hadjam
Jarell Quansah
Jaroslav Zelený
Javi Galán
Jayden Danns
Jerdy Schouten
Jeremie Frimpong
Jeremy Doku
Jerry St.Juste
Jhon Lucumí
Jhon Solis
Joaquin Seys
Joe Gomez
Joel Drommel
Joel Monteiro
Joel Ordóñez
Joey Veerman
Johan Bakayoko
John Mc Ginn
John Mellberg
John Stones
Jon Gorenc Stankovi?
Jonas Hofmann
Jonathan David
Jonathan Tah
Jordan Amavi
Jordan Lotomba
Jorginho
Josha Vagnoman
Joshua Kimmich
Josip Misic
Josip Miši?
Josip Staniši?
JoséMaría Giménez
João Neves
João Palhinha
João Simões
Joško Gvardiol
Juan Cuadrado
Juan David Cabal
Juan Miranda
Juanpe
Jude Bellingham
Jules Koundé
Julian Brandt
Julian Chabot
Julian Ryerson
Julien Duranville
Julien Le Cardinal
Julián Carranza
JuliánÁlvarez
Juraj Kucka
Jurij Medvedev
Jurriën Timber
Justin Bijlow
Jusuf Gazibegovi?
Jáder Durán
Július Szöke
Kaan Kairinen
Kacper Urbanski
Kai Havertz
Kamil Pi?tkowski
Kamory Doumbia
Karim Adeyemi
Karim Konaté
Kasper Schmeichel
Kastriot Imeri
Kenan Bajric
Kenan Yildiz
Kenny Lala
Kerem Aktürko?lu
Kevin
Kevin De Bruyne
Kevin Kampl
Kevin Wimmer
Khéphren Thuram
Kim Min-jae
Kingsley Coman
Kjell Scherpen
Koke
Konrad Laimer
Kostas Tsimikas
Kristjan Asllani
Kyle Walker
Kylian Mbappé
Kyogo Furuhashi
Kyriakos Savvidis
Kyriani Sabbe
Kévin Théophile-Catherine
Ladislav Krej?í
Lamare Bogarde
Lamine Camara
Lamine Yamal
Lassina Franck Traoré
Lautaro Martínez
Lazar Samardzic
Leandro Morgalla
Leandro Trossard
Lee Kang-in
Leon Bailey
Leon Goretzka
Leroy Sané
Lewin Blum
Lewis Ferguson
Liam Scales
Lorenzo Torriani
Loris Benito
Loïs Openda
Lucas Chevalier
Lucas Digne
Lucas Gourna-Douath
Lucas Hernández
Lucas Vázquez
Ludovic Ajorque
Luis Díaz
Luka Ivanušec
Luka Modri?
Luka Modric
Luka Stojkovic
Lukas Haraslin
Lukas Ka?avenda
Lukas Sadilek
Lukasz Lakomy
Lukasz Skorupski
LukášHrádecký
LukášSadílek
Lutsharel Geertruida
Luuk de Jong
Maarten Vandevoordt
Mads Bidstrup
Maghnes Akliouche
Mahdi Camara
Malick Thiaw
Malick Yalcouye
Malik Tillman
Mama Samba Baldé
Mamady Diambou
Manuel Akanji
Manuel Locatelli
Manuel Neuer
Marc Casado
Marc-Andréter Stegen
Marcel Sabitzer
Marco Asensio
Marco Bizot
Marco Brescianini
Marco Carnesecchi
Marco Palestra
Marcos Llorente
Marcus Edwards
Marcus Thuram
Mario Pašali?
Marko Arnautovi?
Marko Ili?
Marko Pjaca
Marko Rog
Marko Tolic
Markus Solbakken
Marlon Gomes
Marquinhos
Martende Roon
Martin Baturina
Martin Terrier
Martin Vitík
MartinØdegaard
Marvin Keller
Massadio Haïdara
Matej Kovar
Matej Rynes
Mateo Kova?i?
Mateo Retegui
Matheus Nunes
Matheus Reis
Mathias Pereira Lage
Mathias Ross
Mathys Tel
Matias Fernandez-Pardo
Matteo Dams
Matteo Darmian
Matteo Gabbia
Matteo Ruggeri
Mattia Perin
Matty Cash
Matvei Safonov
Maurits Kjærgaard
Mauro Júnior
Max Johnston
Maxim De Cuyper
Maxime Bernauer
Maximilian Beier
Maximilian Mittelstädt
Maximiliano Araújo
Mehdi Taremi
Meschak Elia
Michael Olise
Michele Di Gregorio
Miguel Gutiérrez
Mika Biereth
Mike Maignan
Mikel Merino
Milan Rodi?
Milson
Mirko Ivani?
Mitchel Bakker
Mohamed Aly Camara
Mohamed Lamine Bayo
Mohamed Salah
Mohammed Salisu
Morgan Rogers
Morten Hjulmand
Moussa Kounfolo Yeo
Mykola Matviyenko
Myles Lewis-Skelly
Nahuel Molina
Nasser Djiga
Nathan Aké
Nathan Tella
Nemanja Radonji?
Nene Dorgeles
Neto
Newerton
Ngal'Ayel Mukau
Nico Schlotterbeck
Nicolas Seiwald
Nicolas-Gerrit Kühn
Nicolás Capaldo
Nicolás González
Nicolás Otamendi
Nicolò Barella
Nicolò Fagioli
Nicolò Zaniolo
NicolòCasale
NicolòFagioli
NicolòSavona
Niklas Geyrhofer
Niklas Süle
Nikola Moro
Nino Marcelli
Noa Lang
Noah Okafor
Nordi Mukiele
Nuno Mendes
Nuno Santos
Odilon Kossounou
Ognjen Mimovic
Oleksander Zubkov
Oleksandr Zinchenko
Olivier Boscagli
Ollie Watkins
Omri Glazer
Oriol Romeu
Orkun Kökçü
Osame Sahraoui
Oscar Gloukh
Otar Kiteishvili
Ousmane Dembélé
Ousmane Diomande
Ousmane Toure
Pablo Barrios
Pascal Groß
Pascal Stenzel
Patrik Schick
Pau Cubarsí
Pau López
Pau Torres
Pau Victor
Paulo Bernardo
Paulo Gazzaniga
Pedri
Pedrinho
Pedro Gonçalves
Pedro Henrique
Petar Ratkov
Petar Sucic
Peter Olayinka
Peter Vindahl Jensen
Phil Foden
Philipp Köhn
Piero Hincapié
Pierre Kalulu
Pierre Lees-Melou
Piotr Zieli?ski
Portu
Péter Gulácsi
Qazim Laci
Quinten Timber
Rade Kruni?
Rados?aw Majecki
Rafael Leão
Rafael Tolói
Raheem Sterling
Ramiz Zerrouki
Ramy Bensebaini
Raoul Bellanova
Raphael Onyedika
Raphaël Guerreiro
Raphinha
Raúl Asencio
Raúl Torrente
Reinildo Mandava
Remo Freuler
Renato Sanches
Reo Hatate
Ricardo Esgaio
Ricardo Pepi
Riccardo Calafiori
Riccardo Orsolini
Richy Ledezma
Rick Karsdorp
Rico Lewis
Robert Andrich
Robert Lewandowski
Robin Le Normand
Rodri Hernández
Rodrigo De Paul
Rodrigo Riquelme
Rodrygo
Romain Del Castillo
Romain Faivre
Romeo Vermant
Ronald Araújo
Ronaël Pierre-Gabriel
Ross Barkley
Ruben Loftus-Cheek
Ryan Flamingo
Ryan Gravenberch
Rémy Cabella
Róbert Mak
Rúben Dias
Sacha Boey
Sam Beukema
Samson Baidoo
Samuel Chukwueze
Samuel Iling-Junior
Samuel Lino
Samuel Mbangula
Samy Mmaee
Sandro Kulenovi?
Sandro Lauper
Santiago Castro
Santiago Giménez
Sead Kolašinac
Seedy Jatta
Seol Young-woo
Serge Gnabry
Serhou Guirassy
Siemen Voet
Silas Katompa
Silvi Clúa
Silvère Ganvoula M'Boussy
Simon Mignolet
Soumaïla Coulibaly
Soungoutou Magassa
Stefan Bajcetic
Stefan Ortega
Stefan Posch
Stefan Ristovski
Stefande Vrij
Strahinja Pavlovi?
Sven Ulreich
Sávio
Takumi Minamino
Takumu Kawamura
Takuya Ogiwara
Tammy Abraham
Tammy Abrahamr
Tanguy Zoukrou
Taras Stepanenko
Teun Koopmeiners
Theo Hernández
Thibaut Courtois
Thijs Dallinga
Thilo Kehrer
Thomas Beelen
Thomas Meunier
Thomas Müller
Thomas Partey
Tiago Santos
Tigran Barseghyan
Tijjani Reijnders
Timi Elšnik
Timon Wellenreuther
Timothy Weah
Tochi Chukwuani
Tomi Horvat
Tommaso Pobega
Tomás Araújo
Tomáš Wiesner
Trent Alexander-Arnold
Tygo Land
Tyrone Mings
UrošSpaji?
Valerii Bondar
Vanderson
Vangelis Pavlidis
Vanja Drkuši?
Veljko Birmancevic
Victor Boniface
Victor Olatunji
Viktor Gyökeres
Viktor Tsyhankov
Vinicius Júnior
Vinicius Tobias
Virgilvan Dijk
Vitinha
Vladimír Weiss
Waldemar Anton
Walter Benítez
Warren Zaïre-Emery
Wataru Endo
Weston Mc Kennie
Wilfried Singo
Willi Orban
William Bøving
William Saliba
William Vick
Willian Pacho
Wojciech Szcz?sny
Xavi Simons
Yan Couto
Yang Hyunjun
Yangel Herrera
Yann Aurel Bisseck
Yann Sommer
Yannik Keitel
Yaser Asprilla
Youri Tielemans
Youssouf Fofana
Yukhym Konoplia
Yunus Musah
Yussuf Poulsen
Zachary Athekame
Zeki Amdouni
Zeno Debast
Zuberu Sharani
ismael Saibari
matheus Reis
   Abdallah Sima
   Abel Ruiz
   Adam Aznou
   Ademola Lookman
   Aleix García
   Alejandro Balde
   Alejandro Francés
   Aleksandar Katai
   Aleksandar Pavlovic
   Aleksandr Golovin
   Alen Mustafi?
   Alessandro Bastoni
   Alexander Bah
   Alexander Sørloth
   Alexis Mac Allister
   Amady Camara
   Amara Nallo
   Ameen Al-Dakhil
   Amine Adli
   Andrea Cambiaso
   Andreas Schjelderup
   Andreas Skov Olsen
   Andres Cuenca
   Andrew Robertson
   Andrija Maksimovi?
   AndréSilva
   Angel Gomes
   Anis Hadj Moussa
   Ansu Fati
   Antoine Griezmann
   Antonio Nusa
   António Silva
   Arijon Ibrahimovi?
   Arjan Malic
   Armando Obispo
   Arnaut Danjuma
   Arne Engels
   Artem Bondarenko
   Artem Stepanov
   Arthur
   Arthur Cabral
   Arthur Vermeeren
   Assan Ouedraogo
   Aurélien Tchouaméni
   Axel Witsel
   Ayase Ueda
   Ayman Azhil
   Aïssa Mandi
   Bafodé Diakité
   Bartol Franji?
   Ben Godfrey
   Benjamin Boakye
   Benjamin Henrichs
   BenjaminŠeško
   Benjamín Rollheiser
   Berat Djimsiti
   Bjorn Meijer
   Bobby Clark
   Bojan Miovski
   Boubacar Kamara
   Brahim Díaz
   Bruno Duarte
   Bruno Petkovic
   Caio Henrique Oliveira Silva
   Calvin Stengs
   Carlos Augusto
   Casper Nielsen
   Castello Lukeba
   Charalampos Lykogiannis
   Charles De Ketelaere
   Cherif Ndiaye
   Chris Führich
   Chris Nadje
   Christian Mawissa
   Christian Pulisic
   Christoph Baumgartner
   Cody Gakpo
   Cole Campbell
   Conor Bradley
   Conor Gallagher
   Couhaib Driouech
   Cristhian Stuani
   Curtis Jones
   Dan Ndoye
   Dane Murray
   Dani Ceballos
   Dani Olmo
   Daniel Cummings
   Danylo Ihnatenko
   Danylo Sikan
   Daouda Guindo
   David Alaba
   David López
   David Pavelka
   David Raum
   Davide Calabria
   Davide Zappacosta
   Declan Rice
   Diogo Jota
   Dmytro Kryskiv
   Dominik Szoboszlai
   Donyell Malen
   Dušan Vlahovi?
   Dálcio
   DésiréDoué
   Edimilson Fernandes
   Edmond Tapsoba
   Edon Zhegrova
   Eduardo Camavinga
   Eduardo Quaresma
   Egor Prutsev
   Eguinaldo
   El Chadaille Bitshiabu
   Eliesse Ben Seghir
   Elif Elmas
   Eliot Matazo
   Emil Holm
   Emre Can
   Erencan Yardimci
   Eric García
   Ethan Mbappé
   Ethan Nwaneri
   Exequiel Palacios
   Fabián Ruiz Peña
   Facundo González
   Federico Dimarco
   Federico Gatti
   Felix Nmecha
   Fermin López
   Ferrán Torres
   Filip Panák
   Filippo Terracciano
   Folarin Balogun
   Francesco Acerbi
   Francesco Camarda
   Francis Onyeka
   Francisco Conceição
   Fredrik Aursnes
   Fredrik Oppegard
   Frenkiede Jong
   Gabriel Jesus
   Gabriel Martinelli
   Gavi
   Geny Catamo
   George Ilenikhena
   Geovany Quenda
   Gerard Martín
   Gernot Trauner
   Giacomo De Pieri
   Gijs Smal
   Gio Reyna
   Giorgio Scalvini
   Giovanni Fabbian
   Giuliano Simeone
   Gjivai Zechiël
   Gonçalo Inácio
   Gonçalo Ramos
   Granit Xhaka
   Gustaf Nilsson
   Guus Til
   Guélor Kanga
   Harvey Elliott
   Hendry Blank
   Hidemasa Morita
   Hirving Lozano
   Hugo Bueno
   Hugo Magnetti
   Hugo Vetlesen
   Hákon Arnar Haraldsson
   Héctor Fort
   Ibrahim Osman
   Ibrahim Salah
   Indrit Tuci
   Isaac Babadi
   Ismaily
   Issa Kaboré
   Iván Martín
   Jack Grealish
   Jacob Ramsey
   Jacobo Ramón
   Jaden Philogene Bidace
   Jahmai Simpson-Pusey
   Jakub Kiwior
   Jakub Pesek
   Jamal Musiala
   James Mcatee
   Jamie Gittens
   Jan-Niklas Beste
   Jarell Quansah
   Jaroslav Zelený
   Jarzinho Malanga
   Jastin García
   Javier Serrano
   Jeanuël Belocian
   Jens Odgaard
   Jeremie Frimpong
   Jerry St.Juste
   Jeyland Mitchell
   Jhon Lucumí
   Jhon Solis
   Joaquin Seys
   Joel Monteiro
   Joey Veerman
   John Mc Ginn
   John Stones
   Jon Gorenc Stankovi?
   Jonas Hofmann
   Jonas Martin
   Jonas Rouhi
   Jonathan David
   Jordan Lotomba
   Jordan Teze
   Jorginho
   João Neves
   João Palhinha
   João Rêgo
   João Simões
   Joško Gvardiol
   Juan Cuadrado
   Juan Córdoba
   Juanpe
   Julian Brandt
   Julian Chabot
   Julian Ryerson
   Julien Duranville
   Julián Carranza
   Jurij Medvedev
   Jurriën Timber
   Július Szöke
   Kai Havertz
   Kamory Doumbia
   Karim Adeyemi
   Kassoum Ouattara
   Kenan Yildiz
   Kerem Aktürko?lu
   Kevin
   Kevin De Bruyne
   Kevin Kampl
   Kieran Tierney
   Kim Minsu
   Kingsley Coman
   Koke
   Konrad Laimer
   Konstantin Schopp
   Kosta Nedeljkovi?
   Kostas Tsimikas
   Kristjan Asllani
   Kryštof Dan?k
   Krépin Diatta
   Kyle Walker
   Kylian Mbappé
   Kyogo Furuhashi
   Kyriani Sabbe
   Lamare Bogarde
   Lazar Samardzic
   Leandro Barreiro Martins
   Leandro Morgalla
   Leandro Trossard
   Lee Kang-in
   Leon Bailey
   Leon Grgic
   Leon Jakirovic
   Leonidas Stergiou
   Lewin Blum
   Lewis Ferguson
   Liam Scales
   Loris Benito
   Lovro Zvonarek
   Lucas Beraldo
   Lucas Hernández
   Lucas Michal
   Lucas Vázquez
   Luis Enrique Palma
   Luka Ili?
   Luka Ivanušec
   Lukas Haraslin
   Lukas Ka?avenda
   Lukas Klostermann
   Luke Mc Cowan
   LukášPauschek
   LukášPenxa
   Lutsharel Geertruida
   Luuk de Jong
   Mads Bidstrup
   Malick Thiaw
   Malick Yalcouye
   Mama Samba Baldé
   Manuel Locatelli
   Marc Casado
   Marcel Sabitzer
   Marco Asensio
   Marco Brescianini
   Marco Palestra
   Marcus Thuram
   Mario Pašali?
   Marko Arnautovi?
   Marko Pjaca
   Marko Rog
   Marko Tolic
   Markus Solbakken
   Martin Erlic
   Martin Suchomel
   Martin Terrier
   MartinØdegaard
   Massadio Haïdara
   Mateo Kova?i?
   Mateo Retegui
   Matheus Nunes
   Mathias Pereira Lage
   Mathys Tel
   Matteo Darmian
   Matteo Ruggeri
   Mattia Perin
   MatúšVojtko
   Max Johnston
   Maxime Bernauer
   Maximilian Beier
   Mehdi Taremi
   Micha?Skóra?
   Michael Olise
   Michel Aebischer
   Miguel Chaiwa
   Mikel Merino
   Milan Rodi?
   Milson
   Mirko Ivani?
   Mitchel Bakker
   Mohamed Lamine Bayo
   Mohammed Salisu
   Moussa Kounfolo Yeo
   Myles Lewis-Skelly
   Nahuel Molina
   Nathan Butler-Oyedeji
   Nathan Tella
   Nathanael Mbuku
   Nemanja Radonji?
   Nene Dorgeles
   Ngal'Ayel Mukau
   Nico O’Reilly
   Nicolas Seiwald
   Nicolás Capaldo
   Nicolás González
   Nicolò Barella
   NicolòCasale
   NicolòSavona
   NicolòZaniolo
   Niklas Geyrhofer
   Nikola Moro
   Odilon Kossounou
   Oleksander Zubkov
   Oleksandr Zinchenko
   Ollie Watkins
   Oriol Romeu
   Osame Sahraoui
   Ousmane Dembélé
   Pablo Torre
   Pascal Groß
   Pascal Stenzel
   Patric Pfeiffer
   Patrik Schick
   Pau Cubarsí
   Pau Torres
   Pau Victor
   Pedrinho
   Pedro Gonçalves
   Pedro Henrique
   Pierre Lees-Melou
   Piotr Zieli?ski
   Portu
   Qazim Laci
   Rafael Leão
   Rafael Tolói
   Raheem Sterling
   Ramiz Zerrouki
   Ramy Bensebaini
   Randal Kolo Muani
   Raoul Bellanova
   Raphaël Guerreiro
   Raúl Asencio
   Reinildo Mandava
   Remo Freuler
   Renato Sanches
   Reo Hatate
   Rhodri Smith
   Ricardo Esgaio
   Riccardo Calafiori
   Riccardo Orsolini
   Richy Ledezma
   Rick Karsdorp
   Rico Lewis
   Robert Andrich
   Robin Le Normand
   Rodrigo Riquelme
   Rodrygo
   Romain Del Castillo
   Romain Faivre
   Ronaël Pierre-Gabriel
   Ruben Loftus-Cheek
   Rúben Dias
   Sacha Boey
   Samuel Chukwueze
   Samuel Lino
   Samuel Mbangula
   Sandro Lauper
   Santiago Castro
   Santiago Giménez
   Seedy Jatta
   Senny Mayulu
   Serge Gnabry
   Sergi Dominguez
   Serhou Guirassy
   Silvère Ganvoula M'Boussy
   Soumaïla Coulibaly
   Soungoutou Magassa
   Stefan Bajcetic
   Stefan Hierländer
   Stefan Ristovski
   Strahinja Pavlovi?
   Sávio
   Takumi Minamino
   Teun Koopmeiners
   Thomas Beelen
   Thomas Lemar
   Thomas Meunier
   Thomas Partey
   Tigran Barseghyan
   Timon Wellenreuther
   Tomi Horvat
   Tommaso Corazza
   Tomáš Wiesner
   Trent Alexander-Arnold
   Trey Nyoni
   Tyler Morton
   Vangelis Pavlidis
   Vasilije Adži?
   Viggo Gebel
   Viktor Gyökeres
   Vitinha
   Vladimír Weiss
   Waldemar Anton
   Warren Zaïre-Emery
   Wessel Kuhn
   Weston Mc Kennie
   Xavi Simons
   Yan Couto
   Yang Hyunjun
   Yann Aurel Bisseck
   Yannik Keitel
   Yaser Asprilla
   Younes Lachaab
   Yukhym Konoplia
   Yunus Musah
   Yussuf Poulsen
   Zachary Athekame
   Zeki Amdouni
   Zuberu Sharani
   Álex Valle
   Álvaro Morata
   Ángel Correa
   Ángel Di María
   Éderson
Álex Grimaldo
Álex Valle
Álvaro Carreras
Álvaro Morata
Ángel Correa
Ángel Di María
Ángelo Preciado
Éder Militão
Éderson
